evaluation_id,domain,question,answerable,supporting_document,first_relevant_rank,reciprocal_rank,top_score,top_file_name,retrieval_seconds,recall_at_1,recall_at_3,recall_at_5,recall_at_10,retrieval_ms
business_01,Business and management,How can a business plan help a company obtain funding?,True,business_01.txt,1.0,1.0,0.5063897371292114,business_01.txt,1.0587036670040106,True,True,True,True,1058.7036670040106
business_02,Business and management,What is the difference between market research and competitive analysis?,True,business_02.txt,1.0,1.0,0.5691643953323364,business_02.txt,0.011501667002448812,True,True,True,True,11.501667002448812
business_03,Business and management,Why should startup costs be calculated before a business launches?,True,business_03.txt,1.0,1.0,0.6458191275596619,business_03.txt,0.010871833001147024,True,True,True,True,10.871833001147024
climate_01,Climate and environment,What causes the seasonal rise and fall in atmospheric carbon dioxide measurements?,True,climate_02.txt,1.0,1.0,0.6268547177314758,climate_02.txt,0.023763582998071797,True,True,True,True,23.763582998071797
climate_02,Climate and environment,How is global sea level change commonly reported?,True,climate_03.txt,1.0,1.0,0.711205244064331,climate_03.txt,0.027774207992479205,True,True,True,True,27.774207992479205
climate_03,Climate and environment,What does ENSO stand for and which two phases does it include?,True,climate_05.txt,1.0,1.0,0.4314517080783844,climate_05.txt,0.02421420899918303,True,True,True,True,24.21420899918303
cyber_01,Cybersecurity,What are the six core functions in the NIST Cybersecurity Framework 2.0?,True,cyber_01.pdf,1.0,1.0,0.6739912629127502,cyber_01.pdf,0.021344542008591816,True,True,True,True,21.344542008591816
cyber_02,Cybersecurity,What is the main security idea behind zero trust architecture?,True,cyber_02.pdf,1.0,1.0,0.7013850808143616,cyber_02.pdf,0.012958791994606145,True,True,True,True,12.958791994606145
cyber_03,Cybersecurity,What are the main phases of computer security incident handling?,True,cyber_03.pdf,1.0,1.0,0.7054554224014282,cyber_03.pdf,0.011578332996577956,True,True,True,True,11.578332996577956
education_01,Education,Why can the first year of college require students to adjust their expectations?,True,education_01.txt,1.0,1.0,0.5241192579269409,education_01.txt,0.01167162500496488,True,True,True,True,11.67162500496488
education_02,Education,How can mindset affect a student's ability to learn?,True,education_02.txt,9.0,0.1111111111111111,0.4763290286064148,finance_02.pdf,0.011380583004211076,False,False,False,True,11.380583004211076
education_03,Education,Why are budgeting and emergency funds important for college financial success?,True,education_06.txt,2.0,0.5,0.5764763951301575,education_04.txt,0.01330587500706315,False,True,True,True,13.30587500706315
finance_01,Finance and economics,"What does the Poverty, Prosperity, and Planet Report examine?",True,finance_03.pdf,2.0,0.5,0.549177348613739,finance_01.pdf,0.02344633398752194,False,True,True,True,23.44633398752194
finance_02,Finance and economics,Why does financial development matter for households and businesses?,True,finance_04.pdf,5.0,0.2,0.5434345006942749,finance_02.pdf,0.028662500000791624,False,False,True,True,28.662500000791624
finance_03,Finance and economics,"What does the Women, Business and the Law project measure?",True,finance_05.pdf,1.0,1.0,0.5193214416503906,finance_05.pdf,0.011972540989518166,True,True,True,True,11.972540989518166
health_01,Healthcare and biology,What behaviors are common risk factors for chronic diseases?,True,health_01.txt,1.0,1.0,0.6546154618263245,health_01.txt,0.011867958004586399,True,True,True,True,11.867958004586399
health_02,Healthcare and biology,What is antimicrobial resistance?,True,health_02.txt,1.0,1.0,0.6251142024993896,health_02.txt,0.023037959006614983,True,True,True,True,23.037959006614983
health_03,Healthcare and biology,How does diabetes affect the way the body uses food for energy?,True,health_04.txt,1.0,1.0,0.6034835577011108,health_04.txt,0.011668541003018618,True,True,True,True,11.668541003018618
history_01,History and culture,Why did the Declaration of Independence say the colonies were separating from Britain?,True,history_01.txt,1.0,1.0,0.5400522947311401,history_01.txt,0.01110266700561624,True,True,True,True,11.10266700561624
history_02,History and culture,What purposes are stated in the preamble to the United States Constitution?,True,history_02.txt,1.0,1.0,0.5943193435668945,history_02.txt,0.0242225420079194,True,True,True,True,24.2225420079194
history_03,History and culture,What freedoms are protected by the First Amendment?,True,history_03.txt,,0.0,0.6447287797927856,law_01.pdf,0.010713208001106977,False,False,False,False,10.713208001106977
law_01,Law and public policy,Why can freedom of expression be subject to legal limits?,True,law_01.pdf,1.0,1.0,0.7659790515899658,law_01.pdf,0.012313291997998022,True,True,True,True,12.313291997998022
law_02,Law and public policy,"What does Brazil's Law No. 13,709 regulate?",True,law_02.txt,2.0,0.5,0.6239926815032959,law_05.pdf,0.01070524999522604,False,True,True,True,10.70524999522604
law_03,Law and public policy,What area of financial activity is covered by Switzerland's cryptocurrency regulation updates?,True,law_04.pdf,1.0,1.0,0.7852082848548889,law_04.pdf,0.011454000006779097,True,True,True,True,11.454000006779097
space_01,Space and science,What does NASA Earth Science observe and study?,True,space_01.txt,1.0,1.0,0.7085142135620117,space_01.txt,0.01022112499049399,True,True,True,True,10.22112499049399
space_02,Space and science,Why can light not escape from a black hole?,True,space_03.txt,1.0,1.0,0.4766281843185425,space_03.txt,0.012739459009026177,True,True,True,True,12.739459009026177
space_03,Space and science,What keeps planets and smaller objects in orbit around the Sun?,True,space_04.txt,1.0,1.0,0.5352950692176819,space_04.txt,0.011625415994785726,True,True,True,True,11.625415994785726
technology_01,Technology and AI,What are the four functions of the NIST AI Risk Management Framework?,True,tech_01.pdf,1.0,1.0,0.7351073622703552,tech_01.pdf,0.009889416993246414,True,True,True,True,9.889416993246414
technology_02,Technology and AI,What is adversarial machine learning?,True,tech_04.pdf,1.0,1.0,0.6832213401794434,tech_04.pdf,0.010875416002818383,True,True,True,True,10.875416002818383
technology_03,Technology and AI,How does the NIST AI RMF Playbook help organizations manage AI risk?,True,tech_05.docx,1.0,1.0,0.7618858814239502,tech_05.docx,0.020785458997124806,True,True,True,True,20.785458997124806
unsupported_01,Unsupported,Who won the 2025 international sourdough baking contest and what recipe did they use?,False,,,0.0,0.3239794671535492,finance_06.pdf,0.024754708996624686,,,,,24.754708996624686
unsupported_02,Unsupported,What is the maintenance schedule for a 2024 electric city bus model ZX-900?,False,,,0.0,0.3925648629665375,cyber_05.pdf,0.010244042001431808,,,,,10.244042001431808
unsupported_03,Unsupported,Which team won the fictional North Sea underwater chess championship?,False,,,0.0,0.21132346987724304,climate_03.txt,0.011082041994086467,,,,,11.082041994086467
